thesis_output,condition,metric,reported_value,recomputed_value,match,notes
Reward-guided MatterGen,branch_b_0011,mean_reward,0.40076547785609024,0.40076547866607276,True,
Reward-guided MatterGen,branch_b_0011,within_pm2,7.0,7.0,True,
Reward-guided MatterGen,branch_b_0012,mean_prediction,14.132529801752563,14.132529801752563,True,
Reward-guided MatterGen,branch_b_0012,mean_reward,0.3816994992083099,0.3816995018117188,True,
Reward-guided MatterGen,branch_b_0012,within_pm2,6.0,6.0,True,
Reward-guided MatterGen,branch_b_0015,mean_prediction,13.419927290081908,13.419927290081908,True,
Reward-guided MatterGen,branch_b_0015,mean_reward,0.36549500962498094,0.36549501674385215,True,
Reward-guided MatterGen,branch_b_0015,within_pm2,8.0,8.0,True,
Reward-guided MatterGen,branch_b_0010,mean_prediction,10.235776532350652,10.235776532350652,True,
Reward-guided MatterGen,branch_b_0010,mean_reward,0.3495758625621956,0.34957586468828566,True,
Reward-guided MatterGen,branch_b_0010,within_pm2,4.0,4.0,True,
Reward-guided MatterGen,branch_b_0014,mean_prediction,15.551675446385154,15.551675446385154,True,
Reward-guided MatterGen,branch_b_0014,mean_reward,0.4723529660372254,0.4723529639741393,True,
Reward-guided MatterGen,branch_b_0014,within_pm2,10.0,10.0,True,
Reward-guided MatterGen,branch_b_0013,mean_prediction,14.133402530781108,14.133402530781108,True,
Reward-guided MatterGen,branch_b_0013,mean_reward,0.3807401478080199,0.3807401451469,True,
Reward-guided MatterGen,branch_b_0013,within_pm2,4.0,4.0,True,
