guidance_factor,condition,subset,family_type,rank,family_label,count,fraction,representative_formula,representative_space_group,mean_predicted_dielectric_scalar,mean_energy_above_hull_per_atom,stable_fraction_within_family,sun_fraction_within_family
0,4,sun_positive,chemical_system,7,K-P,1,0.041666666666666664,K3P,P6_3/m,4.532197428792601,-0.0868065241988937,1.0,1.0
0,4,sun_positive,chemical_system,8,Ba-Cl-H-O,1,0.041666666666666664,BaHClO,Cmc2_1,3.455805090249476,0.0538105462935014,1.0,1.0
0,4,sun_positive,chemical_system,9,P,1,0.041666666666666664,P,Cmc2_1,14.119236022074332,-0.0089853087736111,1.0,1.0
0,4,sun_positive,chemical_system,10,Cl-In-O-S,1,0.041666666666666664,InS2(ClO2)3,P1,2.30278487424742,0.0889746551486059,1.0,1.0
0,4,sun_positive,reduced_formula,1,MnAgCl4,1,0.041666666666666664,MnAgCl4,P2/m,3.0174957999469942,0.0189209598969171,1.0,1.0
0,4,sun_positive,reduced_formula,2,Na3HfSe4,1,0.041666666666666664,Na3HfSe4,C2/m,6.606938193601903,0.0581844242782425,1.0,1.0
0,4,sun_positive,reduced_formula,3,Ca9TlO10,1,0.041666666666666664,Ca9TlO10,P4/m,4.3414175796285255,0.0568672600200246,1.0,1.0
0,4,sun_positive,reduced_formula,4,Zr3C,1,0.041666666666666664,Zr3C,R3m,16.685182013565946,-0.0024852547553919,1.0,1.0
0,4,sun_positive,reduced_formula,5,Ca2H3I,1,0.041666666666666664,Ca2H3I,R3m,4.254673347928869,0.0842775333992023,1.0,1.0
0,4,sun_positive,reduced_formula,6,KCa(NO3)3,1,0.041666666666666664,KCa(NO3)3,P1,2.3447156103246485,0.0754588661218553,1.0,1.0
0,4,sun_positive,reduced_formula,7,K3P,1,0.041666666666666664,K3P,P6_3/m,4.532197428792601,-0.0868065241988937,1.0,1.0
0,4,sun_positive,reduced_formula,8,BaHClO,1,0.041666666666666664,BaHClO,Cmc2_1,3.455805090249476,0.0538105462935014,1.0,1.0
0,4,sun_positive,reduced_formula,9,P,1,0.041666666666666664,P,Cmc2_1,14.119236022074332,-0.0089853087736111,1.0,1.0
0,4,sun_positive,reduced_formula,10,InS2(ClO2)3,1,0.041666666666666664,InS2(ClO2)3,P1,2.30278487424742,0.0889746551486059,1.0,1.0
0,4,sun_positive,anonymized_formula,1,ABC4,4,0.16666666666666666,BaBeH4,C2,3.3777264980692343,0.018462978942050724,1.0,1.0
0,4,sun_positive,anonymized_formula,2,AB3,3,0.125,AsI3,P1,8.402454353257317,-0.0121004584195893,1.0,1.0
0,4,sun_positive,anonymized_formula,3,AB3C4,2,0.08333333333333333,LiTi3As4,C2/m,11.80229236588279,0.06886245878674695,1.0,1.0
0,4,sun_positive,anonymized_formula,4,AB2C3,2,0.08333333333333333,Ca2H3I,P2/m,5.836731527190963,0.0740786727047866,1.0,1.0
0,4,sun_positive,anonymized_formula,5,AB2C3D6,2,0.08333333333333333,Ca3CeZr2N6,C2/m,6.490981445551034,0.06227699259031455,1.0,1.0
0,4,sun_positive,anonymized_formula,6,AB9C10,1,0.041666666666666664,Ca9TlO10,P4/m,4.3414175796285255,0.0568672600200246,1.0,1.0
0,4,sun_positive,anonymized_formula,7,ABC3D9,1,0.041666666666666664,KCa(NO3)3,P1,2.3447156103246485,0.0754588661218553,1.0,1.0
0,4,sun_positive,anonymized_formula,8,ABCD,1,0.041666666666666664,BaHClO,Cmc2_1,3.455805090249476,0.0538105462935014,1.0,1.0
0,4,sun_positive,anonymized_formula,9,A,1,0.041666666666666664,P,Cmc2_1,14.119236022074332,-0.0089853087736111,1.0,1.0
0,4,sun_positive,anonymized_formula,10,AB2,1,0.041666666666666664,Ag2Se,Pna2_1,13.575740499760164,0.0497419682619235,1.0,1.0
0,4,sun_positive,structure_family,1,SF000,1,0.041666666666666664,MnAgCl4,P2/m,3.0174957999469942,0.0189209598969171,1.0,1.0
0,4,sun_positive,structure_family,2,SF001,1,0.041666666666666664,Na3HfSe4,C2/m,6.606938193601903,0.0581844242782425,1.0,1.0
0,4,sun_positive,structure_family,3,SF002,1,0.041666666666666664,Ca9TlO10,P4/m,4.3414175796285255,0.0568672600200246,1.0,1.0
0,4,sun_positive,structure_family,4,SF003,1,0.041666666666666664,Zr3C,R3m,16.685182013565946,-0.0024852547553919,1.0,1.0
